id,sex,age,federal_district,type_of_city,knows_election_date,will_vote,candidate,television_usage,internet_usage,education,income,employment,job_type,company_type,weight1
071694e1b00cec2f,male,20.0,southern,city with population of 100-500k,named correct date,definitely yes,Putin,does not watch,does not use internet,bachelor degree,very high,work for hire,law enforcement agency,law enforcement agency,1.435475978762547
0716a66543cceab7,female,29.0,southern,village,not sure or no answer,definitely no,Putin,less than 4 hours a day,over 4 hours a day,college,very high,parental leave,,,1.3940986056523457
0716d3febd4ceebb,female,47.0,central,village,named correct date,definitely yes,Putin,less than 4 hours a day,several times a week,incomplete school education,very high,hard to say,,,1.0751351438282932
0716d1ce1c0ce3eb,female,49.0,central,city with population of 100-500k,named correct date,likely yes,Putin,does not watch,several times a week,academic degree,very high,work for hire,commercial organization,farming,1.1171094328245987
0716b4830a8ce014,female,67.0,north caucasian,city with population of less than 50k,named correct date,likely yes,Putin,over 4 hours a day,does not use internet,college,very high,unemployed pensioner,,,0.7806746014525964
071667f5dc0ceec0,female,32.0,siberian,village,named correct date,definitely yes,Putin,does not watch,less than 4 hours a day,college,very high,work for hire,law enforcement agency,law enforcement agency,1.534972021997199
07169451d78cef57,male,45.0,central,city with population of less than 50k,named correct date,definitely yes,Putin,less than 4 hours a day,over 4 hours a day,bachelor degree,very high,work for hire,commercial organization,"industry, manufacturing",1.01714910312819
071690bb968ce298,male,45.0,southern,city with population of 1 million and higher,not sure or no answer,definitely no,will not take part,once half a year,over 4 hours a day,college,very high,unemployed,,,0.8469647384271121
07166632a24ce650,female,35.0,central,city with population of 50-100k,named correct date,definitely yes,Kharitonov,several times a week,over 4 hours a day,academic degree,very high,work for hire,"government, management, judicial bodies",state administration,1.4362312567865414
0716ca7e45cceae2,female,53.0,central,city with population of 1 million and higher,named correct year,definitely yes,Putin,less than 4 hours a day,less than 4 hours a day,college,very high,unemployed,,,0.9418063603081662
071697b9bd8ce670,female,71.0,central,village,named correct date,definitely yes,Putin,over 4 hours a day,over 4 hours a day,college,very high,unemployed pensioner,,,0.8825027563916295
071696d2c88ce014,female,54.0,north caucasian,village,named correct date,definitely yes,Putin,less than 4 hours a day,less than 4 hours a day,incomplete school education,very high,self-employed,,farming,1.0889007664831556
0716a9123b4ce7f6,male,55.0,north caucasian,village,named correct date,definitely yes,Putin,less than 4 hours a day,less than 4 hours a day,school,very high,unemployed pensioner,,,0.9129197168453076
071662b8418cece9,male,48.0,siberian,village,not sure or no answer,definitely yes,Putin,over 4 hours a day,less than 4 hours a day,school,very high,unemployed,,,0.9641456094182506
0716a72caccce695,female,66.0,southern,settlement,named correct date,definitely yes,Putin,over 4 hours a day,over 4 hours a day,bachelor degree,very high,unemployed pensioner,,,1.098571791524148
0716b1a8eecce8a6,female,56.0,central,village,named correct date,definitely yes,Putin,over 4 hours a day,over 4 hours a day,college,very high,unemployed pensioner,,,1.0751351438282932
071697e5ff4ce360,female,68.0,north caucasian,village,not sure or no answer,definitely yes,Putin,less than 4 hours a day,over 4 hours a day,college,very high,unemployed pensioner,,,0.8938019870103089
0716ab71828ce2c1,male,69.0,central,village,named correct date,definitely yes,Putin,less than 4 hours a day,does not use internet,college,very high,unemployed pensioner,,,0.9883719999859604
0716b2ca75cce024,female,33.0,central,city with population of 1 million and higher,named correct date,likely yes,Davankov,does not watch,less than 4 hours a day,bachelor degree,very high,entrepreneur,,"culture, sports",2.043193999204306
07165ff7b50ce953,female,76.0,far eastern,village,named correct date,definitely yes,Putin,over 4 hours a day,does not use internet,incomplete school education,very high,unemployed pensioner,,,0.8659129312353427
07168547b7ccea42,male,77.0,volga,village,named correct date,definitely yes,Kharitonov,less than 4 hours a day,does not use internet,no school education,very high,unemployed pensioner,,,1.0322979703163186
07168865d40ce6d9,female,70.0,central,city with population of less than 50k,named correct date,definitely yes,Putin,over 4 hours a day,does not use internet,college,very high,unemployed pensioner,,,0.770805500143632
071672b53a8ce644,male,44.0,siberian,settlement,named correct date,definitely no,will not take part,over 4 hours a day,over 4 hours a day,school,very high,work for hire,commercial organization,"transportation, storage",0.7291798065841457
07168a0968ccefd0,male,37.0,southern,city with population of 1 million and higher,named correct year,likely no,will not take part,does not watch,less than 4 hours a day,bachelor degree,very high,entrepreneur,,"Сфера услуг, сервиса, бытового обслуживания Включает в том числе: Прачечная/химчистка, ремонт мебели, часов, ювелирны...",1.075929768984035
0716b7e4decce28d,female,86.0,north caucasian,city with population of 100-500k,named correct date,definitely yes,Putin,over 4 hours a day,does not use internet,bachelor degree,very high,unemployed pensioner,,,1.004886526418816
0716a19cdecce7a3,male,71.0,north caucasian,city with population of 500-950k,named correct date,definitely yes,Putin,over 4 hours a day,over 4 hours a day,academic degree,very high,employed pensioner,government agency,education,1.0180801585778538
0716913cb8cce402,female,90.0,central,city with population of less than 50k,named correct year,definitely yes,Putin,less than 4 hours a day,does not use internet,college,very high,unemployed pensioner,,,0.770805500143632
0716ac2c0c0ce3b3,female,75.0,central,city with population of 1 million and higher,named correct date,definitely yes,Putin,over 4 hours a day,less than 4 hours a day,college,very high,unemployed pensioner,,,0.7730625435604446
07166646a28ce96b,female,80.0,far eastern,city with population of 100-500k,not sure or no answer,likely yes,Putin,over 4 hours a day,does not use internet,bachelor degree,very high,unemployed pensioner,,,0.9365449312384638
07168ea2450ce827,male,20.0,central,village,named correct date,not sure,struggle to answer,does not watch,less than 4 hours a day,college,high,employed student,commercial organization,farming,1.4269027796097888
0716a4f4374ced74,male,24.0,northwestern,village,named correct date,not sure,Putin,over 4 hours a day,over 4 hours a day,college,high,work for hire,law enforcement agency,law enforcement agency,1.2127235163114192
0716b59d058ce83f,male,19.0,northwestern,village,not sure or no answer,likely yes,Putin,less than 4 hours a day,less than 4 hours a day,bachelor degree,high,unemployed student,,,1.357542636966645
07169a0b5b8cee06,male,23.0,volga,village,named correct date,not sure,Putin,once half a year,less than 4 hours a day,college,high,work for hire,commercial organization,"industry, manufacturing",1.490318264024903
07165f9b838ce942,male,21.0,siberian,village,named correct date,not sure,struggle to answer,less than 4 hours a day,less than 4 hours a day,college,high,work for hire,government agency,"industry, manufacturing",1.526264033735791
071664574f4ce506,male,20.0,far eastern,village,named correct date,definitely yes,Putin,does not watch,over 4 hours a day,incomplete school education,high,unemployed student,,,1.4000789907238065
0716c1ea2b0ce2c2,male,18.0,central,settlement,not sure or no answer,not sure,Putin,does not watch,over 4 hours a day,incomplete school education,high,unemployed student,,,1.2463015018679136
0716a86524ccef30,male,23.0,northwestern,city with population of less than 50k,named correct date,definitely yes,Putin,once half a year,over 4 hours a day,bachelor degree,high,work for hire,non-profit agency,,1.1857201846393064
0716a3dba04ce4b8,male,19.0,southern,city with population of 50-100k,named correct date,likely yes,Putin,does not watch,over 4 hours a day,incomplete school education,high,entrepreneur,,"catering, restaurants",1.21074151315907
0716c7059dcce52c,male,18.0,central,city with population of 100-500k,not sure or no answer,definitely yes,struggle to answer,once half a year,over 4 hours a day,school,high,unemployed student,,,0.9121813294166576
07168f30b30ce1bd,male,24.0,central,city with population of 100-500k,not sure or no answer,definitely yes,Putin,several times a month,over 4 hours a day,bachelor degree,high,employed student,government agency,healthcare,1.301250278767475
0716b87fac4ce11c,male,22.0,northwestern,city with population of 100-500k,named correct date,not sure,struggle to answer,does not watch,over 4 hours a day,incomplete school education,high,employed student,commercial organization,"transportation, storage",0.8560117111166671
071688d4680ce734,male,20.0,southern,city with population of 100-500k,named correct date,definitely yes,Putin,several times a week,over 4 hours a day,incomplete school education,high,work for hire,hard to say,"Сфера услуг, сервиса, бытового обслуживания Включает в том числе: Прачечная/химчистка, ремонт мебели, часов, ювелирны...",0.978454435235884
0716a35b200ce6d4,male,19.0,southern,city with population of 100-500k,not sure or no answer,not sure,Kharitonov,several times a week,over 4 hours a day,incomplete school education,high,unemployed student,,,0.978454435235884
071681a1950ce576,male,21.0,volga,city with population of 100-500k,named correct year,likely no,will not take part,does not watch,over 4 hours a day,college,high,self-employed,,"culture, sports",1.0519544398517129
0716a20632ccef62,male,19.0,volga,city with population of 100-500k,named correct date,not sure,Putin,once half a year,over 4 hours a day,incomplete school education,high,employed student,commercial organization,"industry, manufacturing",1.0519544398517129
0716644ccc0ce2f5,male,24.0,siberian,city with population of 100-500k,named correct date,definitely no,will not take part,less than 4 hours a day,over 4 hours a day,college,high,entrepreneur,,"industry, manufacturing",1.0773270820275742
07169854148ce61d,male,23.0,north caucasian,city with population of 500-950k,not sure or no answer,not sure,struggle to answer,does not watch,less than 4 hours a day,college,high,work for hire,law enforcement agency,law enforcement agency,0.92277989462689
07168e69c38ce8ae,male,19.0,volga,city with population of 500-950k,not sure or no answer,likely no,Kharitonov,several times a week,over 4 hours a day,college,high,unemployed student,,,0.9516067593096031
0716c686b14ceecd,male,23.0,central,city with population of 1 million and higher,not sure or no answer,not sure,Putin,less than 4 hours a day,over 4 hours a day,college,high,self-employed,,"industry, manufacturing",1.2499508746339754
07169b55200ce767,male,20.0,central,city with population of 1 million and higher,not sure or no answer,not sure,Putin,does not watch,over 4 hours a day,school,high,employed student,commercial organization,"catering, restaurants",1.2499508746339754
0716c4ad120ce8dd,male,22.0,central,city with population of 1 million and higher,named correct date,definitely yes,Putin,does not watch,over 4 hours a day,bachelor degree,high,self-employed,,other,2.0316028372118557
0716c925970ce77c,male,21.0,central,city with population of 1 million and higher,named correct year,definitely yes,Putin,several times a week,over 4 hours a day,bachelor degree,high,unemployed student,,,2.0316028372118557
0716b2fe3a8ce251,male,19.0,central,city with population of 1 million and higher,wrong answer,not sure,Slutskiy,does not watch,over 4 hours a day,incomplete school education,high,employed student,commercial organization,"catering, restaurants",1.3801429045797615
0716803cf7ccec1e,male,23.0,volga,city with population of 1 million and higher,named correct date,definitely yes,Davankov,several times a month,over 4 hours a day,bachelor degree,high,unemployed student,,,1.7630514810931035
07167a75ac0ced4d,male,21.0,ural,city with population of 1 million and higher,named correct date,definitely yes,struggle to answer,does not watch,over 4 hours a day,bachelor degree,high,unemployed student,,,2.304515801162262
07166299070ce73c,male,22.0,siberian,city with population of 1 million and higher,named correct date,likely no,Putin,does not watch,less than 4 hours a day,school,high,employed student,commercial organization,trade,1.4762480715412076
0716b0a883cce96c,male,25.0,central,village,named correct date,definitely yes,Kharitonov,does not watch,over 4 hours a day,bachelor degree,high,work for hire,commercial organization,"industry, manufacturing",1.7664268198962834
0716df76098ce814,male,28.0,central,village,named correct date,definitely yes,Putin,several times a week,less than 4 hours a day,school,high,entrepreneur,,trade,1.199999033908133
0716a20e3d8ce22f,male,32.0,northwestern,village,named correct date,definitely yes,struggle to answer,does not watch,less than 4 hours a day,college,high,work for hire,commercial organization,"industry, manufacturing",1.019878206677364
071688b2270cee3d,male,25.0,southern,village,named correct date,definitely yes,Putin,does not watch,over 4 hours a day,bachelor degree,high,work for hire,commercial organization,"tech, programming, communications",1.7102694366634066
071690fbe6cce4ac,male,31.0,north caucasian,village,named correct year,definitely yes,Putin,once half a year,less than 4 hours a day,bachelor degree,high,work for hire,law enforcement agency,law enforcement agency,1.9358154066813165
07167c5770cce2f5,male,31.0,volga,village,named correct date,definitely yes,Putin,over 4 hours a day,over 4 hours a day,college,high,self-employed,,"construction, architecture",1.2533302917347984
0716aeb6b58ce9dc,male,32.0,northwestern,city with population of 50-100k,named correct date,definitely yes,Putin,does not watch,over 4 hours a day,bachelor degree,high,work for hire,non-profit agency,,0.9971689006322124
0716aa51134ce75b,male,26.0,northwestern,city with population of 100-500k,named correct date,definitely yes,Davankov,does not watch,over 4 hours a day,college,high,work for hire,commercial organization,"catering, restaurants",0.7198901291894308
0716a321f5ccef54,male,28.0,northwestern,city with population of 100-500k,named correct date,definitely yes,struggle to answer,once half a year,over 4 hours a day,academic degree,high,entrepreneur,,"transportation, storage",0.8058568430160787
071694b309ccedfa,male,26.0,volga,city with population of 500-950k,named correct date,definitely yes,Putin,does not watch,less than 4 hours a day,bachelor degree,high,work for hire,commercial organization,"industry, manufacturing",0.9788143497753292
07169260834ce8b5,male,26.0,central,city with population of 1 million and higher,named correct date,likely yes,Davankov,does not watch,over 4 hours a day,school,high,work for hire,commercial organization,"catering, restaurants",1.0511857313807895
07169891078ce873,male,32.0,northwestern,city with population of 1 million and higher,named correct year,definitely yes,Putin,less than 4 hours a day,over 4 hours a day,bachelor degree,high,work for hire,commercial organization,"industry, manufacturing",2.103130103845761
07166f41be8ce926,male,25.0,southern,city with population of 1 million and higher,named correct date,definitely yes,struggle to answer,once half a year,over 4 hours a day,school,high,work for hire,"government, management, judicial bodies",state administration,1.1275579843143275
0716a8b4614ce045,male,30.0,southern,city with population of 1 million and higher,named correct date,not sure,Putin,does not watch,over 4 hours a day,college,high,self-employed,,hard to say,1.1275579843143275
07167207fc0ce2c0,male,27.0,volga,city with population of 1 million and higher,named correct date,definitely yes,Davankov,does not watch,over 4 hours a day,bachelor degree,high,work for hire,commercial organization,"tech, programming, communications",1.4826939187970414
0716bded0acce0e5,male,37.0,northwestern,village,named correct date,not sure,Putin,less than 4 hours a day,less than 4 hours a day,college,high,work for hire,hard to say,other,0.8701223355577322
071666400c8ce853,male,38.0,siberian,village,named correct date,definitely yes,Putin,over 4 hours a day,does not use internet,college,high,unemployed,,,0.8348450926929216
0716993ea8cce505,male,38.0,southern,city with population of less than 50k,named correct date,definitely yes,Putin,less than 4 hours a day,over 4 hours a day,college,high,employed pensioner,commercial organization,"industry, manufacturing",0.6622586842372166
0716785dd28ced4a,male,40.0,volga,city with population of less than 50k,named correct date,definitely yes,Putin,does not watch,over 4 hours a day,bachelor degree,high,work for hire,commercial organization,farming,0.8708438390298522
07168c23f4cce0e7,male,37.0,central,city with population of 100-500k,named correct date,definitely yes,Davankov,less than 4 hours a day,over 4 hours a day,college,high,entrepreneur,,"Сфера услуг, сервиса, бытового обслуживания Включает в том числе: Прачечная/химчистка, ремонт мебели, часов, ювелирны...",0.550919975533851
07166599e94ced3d,male,40.0,siberian,city with population of 100-500k,named correct date,definitely yes,struggle to answer,does not watch,less than 4 hours a day,bachelor degree,high,work for hire,commercial organization,"industry, manufacturing",0.6741129702199534
07168fb302cce0c7,male,41.0,southern,city with population of 500-950k,named correct date,definitely yes,Putin,does not watch,over 4 hours a day,bachelor degree,high,self-employed,,"industry, manufacturing",0.710285166669107
071676517f8ce5b9,male,41.0,volga,city with population of 500-950k,named correct date,not sure,Putin,several times a month,over 4 hours a day,academic degree,high,entrepreneur,,education,0.6366343149672172
07168ec8c2cce41d,male,43.0,central,city with population of 1 million and higher,named correct date,not sure,Putin,over 4 hours a day,over 4 hours a day,bachelor degree,high,work for hire,commercial organization,finances,1.1112583546871004
0716aaf032cce4f6,male,38.0,central,city with population of 1 million and higher,named correct date,definitely yes,Putin,does not watch,over 4 hours a day,academic degree,high,work for hire,government agency,education,1.1112583546871004
0716c3122fcce92f,male,37.0,central,city with population of 1 million and higher,named correct date,not sure,Putin,does not watch,over 4 hours a day,bachelor degree,high,unemployed,,,1.1112583546871004
0716a8c5e64ce727,male,39.0,northwestern,city with population of 1 million and higher,not sure or no answer,likely yes,Putin,once half a year,over 4 hours a day,incomplete school education,high,unemployed pensioner,,,0.8416082614015089
07168087c04cef1c,male,44.0,volga,city with population of 1 million and higher,named correct date,not sure,Putin,over 4 hours a day,over 4 hours a day,college,high,work for hire,commercial organization,"Сфера услуг, сервиса, бытового обслуживания Включает в том числе: Прачечная/химчистка, ремонт мебели, часов, ювелирны...",0.7884695489137181
0716ab89c6cce033,male,52.0,central,city with population of 50-100k,named correct date,definitely yes,Putin,several times a month,over 4 hours a day,academic degree,high,work for hire,commercial organization,refused to answer,1.158912986948362
0716aedad0cce807,male,50.0,central,city with population of 50-100k,named correct date,definitely yes,Putin,over 4 hours a day,over 4 hours a day,college,high,unemployed pensioner,,,0.7872924307180065
071671d0d6cce5d3,male,53.0,volga,city with population of 50-100k,named correct date,definitely yes,Putin,less than 4 hours a day,does not use internet,college,high,work for hire,commercial organization,housing and communal services,0.8222818718935216
07164b8b6ccceb10,male,51.0,far eastern,settlement,named correct date,not sure,struggle to answer,does not watch,less than 4 hours a day,school,high,work for hire,government agency,education,0.7724924273436444
071693fea54ce6dd,male,46.0,southern,city with population of 100-500k,named correct date,likely no,Davankov,does not watch,less than 4 hours a day,college,high,work for hire,non-profit agency,,0.6180926280752528
071699b06d4ced01,male,45.0,southern,city with population of 100-500k,named correct date,definitely no,will not take part,less than 4 hours a day,over 4 hours a day,college,high,work for hire,commercial organization,"tech, programming, communications",0.6180926280752528
0716887148ccea30,male,53.0,volga,city with population of 1 million and higher,named correct date,definitely yes,Putin,less than 4 hours a day,less than 4 hours a day,academic degree,high,unemployed pensioner,,,1.113724956561818
0716678dddccebfc,male,70.0,far eastern,village,named correct date,definitely yes,Putin,over 4 hours a day,over 4 hours a day,bachelor degree,high,unemployed pensioner,,,1.4859872176222455
07168978e94ce898,male,63.0,southern,settlement,named correct date,definitely yes,Putin,less than 4 hours a day,does not use internet,college,high,unemployed pensioner,,,0.8386436889234365
0716876f4d4ce159,male,60.0,northwestern,city with population of 1 million and higher,named correct date,definitely yes,struggle to answer,several times a week,does not use internet,academic degree,high,unemployed pensioner,,,1.7322304837187477
0716a2024ccced9a,female,18.0,southern,village,wrong answer,likely yes,Putin,several times a month,over 4 hours a day,school,high,unemployed,,,1.2685483371093815
0716b1893c4cecb6,female,18.0,central,city with population of 100-500k,not sure or no answer,likely no,Putin,several times a week,over 4 hours a day,college,high,unemployed student,,,0.921714908923266
0716ba4da34ce3d2,female,19.0,central,city with population of 100-500k,named correct date,likely yes,Putin,several times a week,over 4 hours a day,school,high,employed student,commercial organization,"catering, restaurants",0.921714908923266
0716a348044cef34,female,21.0,southern,city with population of 100-500k,named correct date,likely yes,Putin,does not watch,over 4 hours a day,college,high,hard to say,,,0.8954161588174846
07167c94eb8ce1b7,female,18.0,volga,city with population of 100-500k,named correct date,definitely yes,Putin,several times a week,over 4 hours a day,school,high,unemployed student,,,0.9626784547774458
07169b98df8ceed1,female,19.0,volga,city with population of 100-500k,named correct date,definitely yes,Putin,does not watch,over 4 hours a day,college,high,unemployed student,,,0.9626784547774458
07166d3967ccebb8,female,18.0,far eastern,city with population of 100-500k,named correct date,not sure,Putin,several times a month,over 4 hours a day,school,high,employed student,government agency,education,0.904387949803612
0716c6f1abcceede,female,18.0,central,city with population of 500-950k,not sure or no answer,not sure,struggle to answer,does not watch,over 4 hours a day,college,high,self-employed,,"Сфера услуг, сервиса, бытового обслуживания Включает в том числе: Прачечная/химчистка, ремонт мебели, часов, ювелирны...",0.8337909934687436
071696bf094cea60,female,18.0,southern,city with population of 500-950k,named correct date,not sure,struggle to answer,does not watch,over 4 hours a day,school,high,unemployed student,,,0.8100009247984853
07167a92ff8ce3bc,female,20.0,ural,city with population of 500-950k,named correct date,likely no,Putin,does not watch,over 4 hours a day,college,high,work for hire,commercial organization,"Сфера услуг, сервиса, бытового обслуживания Включает в том числе: Прачечная/химчистка, ремонт мебели, часов, ювелирны...",0.8133200544294995
0716c5d406cceb01,female,23.0,central,city with population of 1 million and higher,named correct date,definitely yes,Putin,several times a month,over 4 hours a day,college,high,employed student,government agency,healthcare,1.1438715698656825
0716cae7828ce5dd,female,21.0,central,city with population of 1 million and higher,not sure or no answer,likely yes,Putin,several times a month,over 4 hours a day,college,high,work for hire,government agency,healthcare,1.1438715698656825
07167c0c06cced56,female,18.0,ural,city with population of 1 million and higher,not sure or no answer,definitely yes,Putin,does not watch,over 4 hours a day,college,high,employed student,commercial organization,hard to say,1.2320055371226355
0716ae79dfcce4c1,female,25.0,central,city with population of 50-100k,named correct date,definitely yes,Putin,does not watch,over 4 hours a day,bachelor degree,high,work for hire,commercial organization,healthcare,1.8450522343490197
071699e771cce02d,female,32.0,northwestern,city with population of less than 50k,not sure or no answer,struggle to answer,Putin,over 4 hours a day,several times a week,school,high,unemployed,,,1.0652739999183374
071654f57acce7ff,female,26.0,far eastern,city with population of less than 50k,named correct date,definitely yes,struggle to answer,does not watch,less than 4 hours a day,bachelor degree,high,work for hire,commercial organization,"transportation, storage",1.884467067364661
071673d4944ce227,female,34.0,ural,city with population of 500-950k,named correct date,likely yes,Putin,over 4 hours a day,over 4 hours a day,bachelor degree,high,work for hire,commercial organization,"construction, architecture",1.530027741779019
07169e3e870ce8fc,female,29.0,northwestern,city with population of 1 million and higher,named correct date,definitely yes,Davankov,once half a year,over 4 hours a day,bachelor degree,high,work for hire,commercial organization,"tech, programming, communications",2.5150719933503947
0716a04638cce45e,female,30.0,southern,city with population of 1 million and higher,named correct date,definitely yes,Davankov,does not watch,over 4 hours a day,bachelor degree,high,work for hire,commercial organization,"tech, programming, communications",1.9782377682752668
07167198d04cec2e,female,30.0,siberian,city with population of 1 million and higher,wrong answer,likely no,will not take part,once half a year,less than 4 hours a day,bachelor degree,high,work for hire,commercial organization,trade,1.698396219572585
07165f9732cce7ed,female,40.0,siberian,village,not sure or no answer,definitely yes,Putin,does not watch,over 4 hours a day,school,high,unemployed,,,1.1948576605274508
07166a36fe4ce7d7,female,35.0,siberian,village,not sure or no answer,definitely yes,struggle to answer,over 4 hours a day,does not use internet,incomplete school education,high,unemployed pensioner,,,1.1948576605274508
0716d6b0cd8ce11e,female,42.0,central,settlement,named correct date,likely yes,Putin,several times a week,over 4 hours a day,bachelor degree,high,work for hire,commercial organization,finances,1.4362312567865414
07169b7d8b8ce614,female,37.0,northwestern,city with population of less than 50k,named correct date,definitely yes,Davankov,does not watch,less than 4 hours a day,college,high,self-employed,,"entertainment, tourism",1.0877255373571288
07168143db4ceed7,female,44.0,volga,settlement,named correct date,definitely yes,Putin,several times a week,less than 4 hours a day,bachelor degree,high,work for hire,commercial organization,"industry, manufacturing",1.2463802462221458
07169ddd360ce388,female,38.0,volga,city with population of 50-100k,named correct date,likely yes,Putin,does not watch,over 4 hours a day,bachelor degree,high,unemployed,,,1.2463802462221458
0716c094288ce0c9,female,42.0,central,city with population of 1 million and higher,named correct date,definitely no,Putin,less than 4 hours a day,does not use internet,college,high,hard to say,,,0.9785419461033652
0716c1361f4ce6bd,female,35.0,central,city with population of 1 million and higher,named correct date,definitely yes,Davankov,over 4 hours a day,over 4 hours a day,bachelor degree,high,work for hire,commercial organization,finances,1.5904693811399246
071698eded0ce975,female,36.0,northwestern,city with population of 1 million and higher,named correct date,definitely yes,struggle to answer,does not watch,less than 4 hours a day,bachelor degree,high,work for hire,commercial organization,"tech, programming, communications",1.9577901062474536
0716dc1ab5ccef33,female,45.0,central,village,named correct date,likely yes,Putin,over 4 hours a day,over 4 hours a day,bachelor degree,high,work for hire,commercial organization,trade,1.3890299266426491
071680cd2b4ce00e,female,49.0,volga,village,named correct year,definitely yes,Putin,over 4 hours a day,over 4 hours a day,school,high,self-employed,,education,1.1229171069247776
07167ab6e60cea9d,female,45.0,volga,city with population of 50-100k,named correct date,definitely yes,Putin,less than 4 hours a day,less than 4 hours a day,bachelor degree,high,work for hire,commercial organization,housing and communal services,1.1995897037718604
0716ac49f7ccef21,female,65.0,north caucasian,village,named correct date,definitely yes,Putin,several times a week,does not use internet,school,high,unemployed pensioner,,,0.8938019870103089
071672eb098ce0c6,female,70.0,ural,village,named correct date,definitely yes,Putin,over 4 hours a day,does not use internet,college,high,unemployed pensioner,,,0.8608358635257076
071697343b8cee74,female,71.0,north caucasian,city with population of less than 50k,named correct date,definitely yes,Putin,less than 4 hours a day,does not use internet,school,high,employed pensioner,commercial organization,"entertainment, tourism",0.7806746014525964
0716b1c2468ce133,female,68.0,central,city with population of 100-500k,named correct date,definitely yes,Putin,over 4 hours a day,over 4 hours a day,college,high,unemployed pensioner,,,0.622922442257633
0716cbf1a44ce9f1,female,73.0,central,city with population of 100-500k,named correct date,definitely yes,Putin,over 4 hours a day,several times a month,college,high,unemployed pensioner,,,0.622922442257633
0716cbef0a0ce918,female,74.0,central,city with population of 100-500k,named correct date,definitely yes,Putin,over 4 hours a day,less than 4 hours a day,bachelor degree,high,unemployed pensioner,,,0.8047899087292489
0716a2190b0ce629,female,72.0,southern,city with population of 1 million and higher,named correct date,definitely yes,Putin,less than 4 hours a day,less than 4 hours a day,bachelor degree,high,unemployed pensioner,,,1.2165483721002683
0716a142ac8ce5bc,male,22.0,north caucasian,city with population of 500-950k,named correct date,definitely yes,Putin,over 4 hours a day,less than 4 hours a day,college,high,unemployed,,,0.92277989462689
